<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
800B,"（対象局番：11局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
800C,"（対象局番：12局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
800D,"（対象局番：13局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
800E,"（対象局番：14局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
800F,"（対象局番：15局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8010,"（対象局番：16局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8011,"（対象局番：17局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8012,"（対象局番：18局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8013,"（対象局番：19局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8014,"（対象局番：20局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8015,"（対象局番：21局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8016,"（対象局番：22局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8017,"（対象局番：23局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8018,"（対象局番：24局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8019,"（対象局番：25局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
801A,"（対象局番：26局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
801B,"（対象局番：27局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
801C,"（対象局番：28局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
801D,"（対象局番：29局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
801E,"（対象局番：30局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
